ID Estacion,Autoridad Ambiental,Estacion,Latitud,Longitud,Variable,Unidades,Tiempo de exposición (horas),a�o,Promedio,Suma,No. de datos,Representatividad Temporal,Excedencias limite actual,Porcentaje excedencias limite actual,Mediana,Percentil 98,Maximo,Fechas/horas del maximo,Minimo,Fechas/horas del mi�nimo,Dias de excedencias,Codigo del Departamento,Nombre del Departamento,Codigo del Municipio,Nombre del Municipio,Tipo de Estacion
"8,204",CDMB,CIUDADELA,7.105925,-73.12369167,PM10,ugm3,1,"2,021",28.6,"177,157","6,191",71,29,0.47,26.4,60.5,110,01/01/2021 03:00:00  - 06/03/2021 02:00:00,2.2,25/07/2021 05:00:00  - 25/10/2021 12:00:00,12,68,SANTANDER,68001,BUCARAMANGA,Fija
"8,204",CDMB,CIUDADELA,7.105925,-73.12369167,PM10,ugm3,24,"2,021",28.6,"7,389.75",258,71,0,0,26.3,53.3,64.3,4/3/2021 12:00,11.5,2/5/2021 12:00,0,68,SANTANDER,68001,BUCARAMANGA,Fija
"30,003",CORPOCESAR,BOMBEROS,10.468622,-73.257642,PM10,ugm3,24,"2,021",28.6,"3,405.76",119,98,1,0.84,26.8,58.4,76.6,16/06/2021,6,22/07/2021,1,20,CESAR,20001,VALLEDUPAR,Fija
"31,909",CORNARE,ALCALDÍA DE GUARNE,6.280139,-75.442028,PM10,ugm3,24,"2,021",28.9,491.3,17,0,0,0,25.8,57.6,60.8,22/12/2021,19.5,1/12/2021,0,5,ANTIOQUIA,5318,GUARNE,Fija
"8,210",SDA,SUBA,4.761247,-74.093461,PM10,ugm3,1,"2,021",29.6,"233,236.70","7,871",90,156,1.98,26.6,75.3,149,4/10/2021 7:00,0,25/01/2021 1:00,55,11,"BOGOTA, D.C.",11001,"BOGOTA, D.C.",Fija
"8,210",SDA,SUBA,4.761247,-74.093461,PM10,ugm3,24,"2,021",29.7,"9,520.14",321,88,0,0,28.8,55.1,66,6/11/2021 12:00,9,10/1/2021 12:00,0,11,"BOGOTA, D.C.",11001,"BOGOTA, D.C.",Fija
"31,873",SDA,EL JAZMÍN,4.6085,-74.114944,PM10,ugm3,1,"2,021",30,"254,416.50","8,475",97,179,2.11,26.6,76.1,128.4,1/1/2021 5:00,1.7,19/05/2021 2:00,58,11,"BOGOTA, D.C.",11001,"BOGOTA, D.C.",Fija
"8,234",CORPOCALDAS,MILÁN,5.047326,-75.480838,PM10,ugm3,24,"2,021",30.2,"3,141",104,85,0,0,30,40,45,16/01/2021,17,11/03/2021 - 16/05/2021,0,17,CALDAS,17001,MANIZALES,Fija
"31,873",SDA,EL JAZMÍN,4.6085,-74.114944,PM10,ugm3,24,"2,021",30.3,"10,663.77",352,96,0,0,30,59.8,71.1,11/6/2021 12:00,5.9,20/07/2021 12:00,0,11,"BOGOTA, D.C.",11001,"BOGOTA, D.C.",Fija
"31,851",CORANTIOQUIA,ALC,7.989069,-75.197025,PM10,ugm3,1,"2,021",30.7,"215,359","7,011",80,195,2.78,27,79,208,30/03/2021 6:00,4,11/01/2021 10:00:00  - 12/01/2021 05:00:00  - 24/02/2021 05:00:00  - 26/03/2021 06:00:00  - 09/04/2021 07:00:00  - 12/04/2021 10:00:00  - 12/04/2021 11:00:00  - 12/05/2021 01:00:00  - 12/05/2021 03:00:00  - 11/06/2021 02:00:00  - 11/06/2021 06:00:00  - 22/06/2021 10:00:00  - 26/06/2021 04:00:00  - 27/06/2021 02:00:00  - 09/07/2021 11:00:00  - 12/07/2021 10:00:00  - 13/07/2021 09:00:00  - 14/07/2021 12:00:00  - 31/07/2021 01:00:00  - 02/08/2021 03:00:00  - 03/08/2021 04:00:00  - 03/08/2021 11:00:00  - 07/08/2021 05:00:00  - 07/08/2021 02:00:00  - 08/08/2021 12:00:00  - 17/08/2021 05:00:00  - 21/08/2021 02:00:00  - 22/08/2021 03:00:00  - 22/08/2021 07:00:00  - 22/08/2021 02:00:00  - 31/08/2021 11:00:00  - 02/09/2021 02:00:00  - 14/09/2021 12:00:00  - 28/09/2021 05:00:00  - 29/09/2021 08:00:00  - 30/09/2021 12:00:00  - 30/09/2021 03:00:00  - 01/10/2021 03:00:00  - 16/10/2021 12:00:00  - 20/10/2021 03:00:00  - 24/10/2021 02:00:00  - 31/10/2021 01:00:00  - 01/11/2021 10:00:00  - 02/11/2021 01:00:00  - 03/11/2021 02:00:00  - 04/11/2021 09:00:00  - 05/11/2021 02:00:00  - 09/11/2021 02:00:00,80,5,ANTIOQUIA,5154,CAUCASIA,Fija
"31,851",CORANTIOQUIA,ALC,7.989069,-75.197025,PM10,ugm3,24,"2,021",30.7,"9,106.04",297,81,1,0.34,26.4,64.7,75.6,5/2/2021 12:00,11.4,27/06/2021 12:00,1,5,ANTIOQUIA,5154,CAUCASIA,Fija
"30,653",CORPAMAG,PESCAÍTO,11.252639,-74.210361,PM10,ugm3,24,"2,021",30.7,"3,501.60",114,93,1,0.88,27.8,61.1,89.7,5/3/2021,6.7,1/1/2021,1,47,MAGDALENA,47001,SANTA MARTA,Fija
"31,719",CORPOBOYACA,UPTC,5.704583333,-72.94277778,PM10,ugm3,1,"2,021",30.7,"199,890","6,505",74,545,8.38,23,98,147,1/1/2021 2:00,0,02/01/2021 11:00:00  - 03/01/2021 04:00:00  - 04/01/2021 11:00:00  - 11/01/2021 01:00:00  - 13/01/2021 01:00:00  - 15/01/2021 10:00:00  - 25/01/2021 12:00:00  - 12/02/2021 08:00:00  - 13/02/2021 11:00:00  - 16/02/2021 03:00:00  - 16/02/2021 11:00:00  - 25/02/2021 09:00:00  - 27/02/2021 02:00:00  - 08/03/2021 12:00:00  - 09/03/2021 09:00:00  - 10/03/2021 04:00:00  - 12/03/2021 01:00:00  - 17/03/2021 02:00:00  - 26/03/2021 09:00:00  - 27/03/2021 07:00:00  - 29/03/2021 05:00:00  - 29/03/2021 12:00:00  - 08/04/2021 05:00:00  - 10/04/2021 05:00:00  - 16/04/2021 06:00:00  - 02/05/2021 06:00:00  - 02/05/2021 07:00:00  - 10/05/2021 10:00:00  - 11/05/2021 09:00:00  - 12/05/2021 03:00:00  - 12/05/2021 04:00:00  - 22/05/2021 10:00:00  - 24/05/2021 01:00:00  - 24/05/2021 07:00:00  - 28/05/2021 10:00:00  - 29/05/2021 04:00:00  - 01/06/2021 05:00:00  - 03/06/2021 06:00:00  - 05/06/2021 07:00:00  - 06/06/2021 11:00:00  - 10/06/2021 01:00:00  - 11/06/2021 08:00:00  - 13/06/2021 05:00:00  - 14/06/2021 01:00:00  - 14/06/2021 11:00:00  - 18/06/2021 10:00:00  - 20/06/2021 08:00:00  - 22/06/2021 05:00:00  - 23/06/2021 05:00:00  - 23/06/2021 01:00:00  - 24/06/2021 01:00:00  - 26/06/2021 05:00:00  - 28/06/2021 02:00:00  - 05/07/2021 04:00:00  - 07/07/2021 05:00:00  - 07/07/2021 06:00:00  - 07/07/2021 08:00:00  - 09/07/2021 10:00:00  - 11/07/2021 05:00:00  - 13/07/2021 03:00:00  - 13/07/2021 06:00:00  - 14/07/2021 11:00:00  - 15/07/2021 02:00:00  - 15/07/2021 06:00:00  - 16/07/2021 07:00:00  - 16/07/2021 09:00:00  - 17/07/2021 02:00:00  - 18/07/2021 02:00:00  - 18/07/2021 06:00:00  - 18/07/2021 10:00:00  - 19/07/2021 10:00:00  - 20/07/2021 10:00:00  - 25/07/2021 03:00:00  - 28/07/2021 06:00:00  - 29/07/2021 02:00:00  - 29/07/2021 05:00:00  - 30/07/2021 02:00:00  - 01/08/2021 11:00:00  - 03/08/2021 11:00:00  - 04/08/2021 04:00:00  - 08/08/2021 01:00:00  - 12/08/2021 03:00:00  - 12/08/2021 07:00:00  - 20/08/2021 04:00:00  - 30/08/2021 12:00:00  - 01/12/2021 05:00:00  - 04/12/2021 09:00:00  - 06/12/2021 06:00:00  - 12/12/2021 01:00:00  - 29/12/2021 12:00:00  - 29/12/2021 11:00:00  - 31/12/2021 04:00:00  - 31/12/2021 01:00:00,206,15,BOYACA,15759,SOGAMOSO,Fija
"31,719",CORPOBOYACA,UPTC,5.704583333,-72.94277778,PM10,ugm3,24,"2,021",30.7,"8,417.64",274,75,0,0,29.5,49.2,60.4,10/12/2021 12:00,14.3,20/06/2021 12:00,0,15,BOYACA,15759,SOGAMOSO,Fija
"9,053",CORPOCESAR,ESTACIÓN CHIRIGUANÁ,9.363555556,-73.60711111,PM10,ugm3,24,"2,021",30.7,"3,317.23",108,89,2,1.85,22.2,71.6,323.5,14/05/2021,4.7,5/9/2021,2,20,CESAR,20178,CHIRIGUANA,Fija
"31,912",CORNARE,JERUSALEN,5.897364,-74.847723,PM10,ugm3,24,"2,021",30.8,523.6,17,0,0,0,31.1,39.4,39.4,7/11/2021,18.4,1/12/2021,0,5,ANTIOQUIA,5756,SONSON,Indicativa
"31,850",SDA,BOSA,4.605611,-74.204056,PM10,ugm3,1,"2,021",31,"156,454.50","5,041",58,149,2.96,26.8,82.6,142.3,23/03/2021 10:00,3.1,18/05/2021 3:00,39,11,"BOGOTA, D.C.",11001,"BOGOTA, D.C.",Fija
"31,850",SDA,BOSA,4.605611,-74.204056,PM10,ugm3,24,"2,021",31,"6,438.52",208,57,0,0,27.6,63.9,68.1,30/01/2021 12:00,10.8,20/06/2021 12:00,0,11,"BOGOTA, D.C.",11001,"BOGOTA, D.C.",Fija
